Florin-Cristian Tătaru,Grupul parlamentar al Partidului Social Democrat
Gábor Kereskényi,Grupul parlamentar al Uniunii Democrate Maghiare din România
Gabriela-Lola Anghel,Grupul parlamentar național democrat
Gabriela-Maria Podașcă,Grupul parlamentar al Partidului Social Democrat
Gavril Mîrza,Grupul parlamentar al Partidului Social Democrat
George Scarlat,Grupul parlamentar al Partidului Național Liberal
Georgian Pop,Grupul parlamentar al Partidului Social Democrat
Georgică Dumitru,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Gheorghe Costin,Grupul parlamentar al Partidului Național Liberal
Gheorghe Dragomir,Grupul parlamentar al Partidului Național Liberal
Gheorghe Emacu,Grupul parlamentar al Partidului Social Democrat
Gheorghe Firczak,Grupul parlamentar al minorităților naționale
Gheorghe Frăticiu,Grupul parlamentar al Partidului Social Democrat
Gheorghe Marin,Grupul parlamentar al Partidului Social Democrat
Gheorghe Șimon,Grupul parlamentar al Partidului Social Democrat
Gheorghe-Dănuț Bogdan,Grupul parlamentar al Partidului Social Democrat
Gheorghe-Eugen Nicolăescu,Grupul parlamentar al Partidului Național Liberal
Gheorghe-Vlad Nistor,Grupul parlamentar al Partidului Național Liberal
Ghervazen Longher,Grupul parlamentar al minorităților naționale
Gigel-Sorinel Știrbu,Grupul parlamentar al Partidului Național Liberal
Giureci-Slobodan Ghera,Grupul parlamentar al minorităților naționale
Grigore Crăciunescu,Grupul parlamentar al Partidului Național Liberal
Horia Cristian,Grupul parlamentar al Partidului Național Liberal
Horia Grama,Grupul parlamentar al Partidului Social Democrat
Hubert Petru Ștefan Thuma,Grupul parlamentar al Partidului Național Liberal
Hunor Kelemen,Grupul parlamentar al Uniunii Democrate Maghiare din România
Ileana Cristina Dumitrache,Grupul parlamentar al Partidului Social Democrat
Ioan Axente,Grupul parlamentar al Partidului Social Democrat
Ioan Benga,Grupul parlamentar al Partidului Social Democrat
Ioan Cupșa,Grupul parlamentar al Partidului Național Liberal
Ioan Dîrzu,Grupul parlamentar al Partidului Social Democrat
Ioan Munteanu,Grupul parlamentar al Partidului Social Democrat
Ioan Stan,Grupul parlamentar al Partidului Social Democrat
Ioan Tămâian,Grupul parlamentar al Partidului Național Liberal
Ioan Vulpescu,Grupul parlamentar al Partidului Social Democrat
Ioan-Cristian Chirteș,Grupul parlamentar al Partidului Național Liberal
Ioan Sorin Roman,Grupul parlamentar al Partidului Social Democrat
Ion Bălan,Grupul parlamentar al Partidului Social Democrat
Ion Călin,Grupul parlamentar al Partidului Social Democrat
Ion Eparu,Grupul parlamentar al Partidului Social Democrat
Ion Marocico,Grupul parlamentar al minorităților naționale
Ion Mocioalcă,Grupul parlamentar al Partidului Social Democrat
